-255.4851,-218.4813
-254.4851,-215.1810
-254.4851,-211.4664
-253.4851,-208.1660
-253.4851,-204.4515
-252.4851,-201.1511
-252.4851,-197.4366
-251.4851,-194.1362
-250.7358,-190.7320
-250.2305,-187.2268
-249.4851,-183.8210
-248.4851,-180.5206
-247.4851,-177.2203
-246.4851,-173.9199
-245.5828,-170.5791
-244.4851,-167.3192
-243.4851,-164.0189
-242.4851,-160.7185
-241.4851,-157.4182
-240.4851,-154.1179
-239.0157,-151.0119
-237.8033,-147.7995
-236.4851,-144.6310
-235.3786,-141.3748
-234.1662,-138.1624
-232.4851,-135.1442
-231.0343,-132.0306
-229.4851,-128.9577
-227.9025,-125.8987
-226.4851,-122.7712
-224.4851,-119.8851
-222.8511,-116.8473
-220.9316,-113.9279
-219.0121,-111.0084
-217.0927,-108.0889
-215.1732,-105.1694
-212.5466,-102.5428
-210.6271,-99.6233
-208.0005,-96.9967
-205.3739,-94.3702
-202.7473,-91.7436
-199.8278,-89.8241
-197.2013,-87.1975
-194.2818,-85.2780
-191.3114,-83.4813
-188.1499,-82.1461
-185.1250,-80.4813
-182.0180,-79.0143
-178.8057,-77.8019
-175.8862,-75.8824
-176.4851,-72.7482
-177.4851,-69.4479
-178.4851,-66.1475
-179.4851,-62.8472
-180.4851,-59.5468
-181.6511,-56.3153
-182.8635,-53.1029
-184.0759,-49.8905
-185.2882,-46.6781
-185.7935,-43.1729
-186.4851,-39.7448
-187.4851,-36.4444
-188.4851,-33.1441
-189.4851,-29.8437
-189.4851,-26.1292
-190.4851,-22.8288
-190.7446,-19.2218
-191.4851,-15.8139
-191.4851,-12.0993
-191.5533,-8.4130
-192.4851,-5.0844
-192.4851,-1.3699
-192.4851,2.3447
-193.3957,5.6080
-193.4851,8.5312
-193.4851,12.2457
-194.4851,15.5461
-194.4851,19.2606
-195.5150,22.5486
-197.4344,25.4681
-198.6468,28.6805
-200.4851,31.6336
-202.4851,34.5197
-203.6982,37.7318
-205.4851,40.7062
-206.4851,44.0066
-208.0424,47.0760
-209.2548,50.2884
-210.4672,53.5008
-210.9724,57.0061
-211.4851,60.5083
-212.4851,63.8086
-212.4851,67.5232
-212.5624,70.4414
-213.4851,73.7097
-213.4851,77.4242
-213.6324,80.3714
-213.8430,83.8767
-214.4851,87.3253
-213.4851,90.6256
-212.9042,94.0996
-212.4851,97.6405
-211.4851,100.9409
-211.3884,104.6154
-210.4851,107.9558
-208.9636,111.0401
-207.7512,114.2525
-206.4851,117.4426
-205.3265,120.6773
-203.4851,123.6291
-202.1946,126.8091
-200.4851,129.8156
-199.0628,132.9410
-197.1433,135.8605
-195.2238,138.7800
-193.3043,141.6995
-190.6777,144.3260
-188.7582,147.2455
-186.8388,150.1650
-184.2122,152.7916
-181.5856,155.4182
-178.9590,158.0448
